Name; Value; Type; Description
@panoram_debug_dead_pad; 0; ; 
@panorama_clear_frames_on_device_restore; 2; ; 
@panorama_daisy_wheel; 0; cl; Daisy wheel input mode: RS | ABXY
@panorama_debug_movies; 0; cl; 
@panorama_debug_overlay_opacity; 0; a; 
@panorama_experimental_overdraw_prevention; 1; ; 
@panorama_fbo_alloc_batch; 10; ; 
@panorama_joystick_axis_repeat_curve_time; 1; ; 
@panorama_joystick_axis_repeat_interval_end; 0; ; 
@panorama_joystick_axis_repeat_interval_start; 0; ; 
@panorama_joystick_button_repeat_curve_time; 1; ; 
@panorama_joystick_button_repeat_interval_end; 0; ; 
@panorama_joystick_button_repeat_interval_start; 0; ; 
@panorama_max_fps; 120; ; 
@panorama_max_free_fbo; 1000; ; 
@panorama_max_oof_overlay_up_fps; 4; ; 
@panorama_max_overlay_fps; 60; ; 
@panorama_print_cache_status; cmd; ; 
@panorama_reload_animations; 1; ; 
@panorama_show_fps; 0; ; 
@panorama_spew_layout_invalidates; 0; ; 
@panorama_steampad_button_repeat_curve_time; 0; ; 
@panorama_steampad_button_repeat_interval_end; 0; ; 
@panorama_steampad_button_repeat_interval_start; 0; ; 
@panorama_transition_time_factor; 1; ; A float representing a scale factor for transitions. 1.0 is normal, 2.0 would be twice as fast as normal, 0.5 half as fast
@panorama_volume_ambient; 0; ; 
@panorama_volume_effects; 1; ; 
@panorama_volume_master; 1; ; 
@panorama_volume_movies; 1; ; 
@panorama_vsync; 1; ; 
_cl_minimapzoom; 1; cl, a; 
_fov; 0; cl; Automates fov command to server.
_overview_mode; 1; cl, a; Overview mode - 0=off, 1=inset, 2=full 
_record; cmd; ; Record a demo incrementally.
_resetgamestats; cmd; ; Erases current game stats and writes out a blank stats file
achievement_debug; 0; sv, rep, cheat; Turn on achievement debug msgs.
achievement_disable; 0; sv, rep, cheat; Turn off achievements.
actionpanel_frame; cmd; ; actionpanel set frame #
actionpanel_resize; cmd; ; actionpanel force re-layout
activategameui; cmd; ; 
addip; cmd; ; Add an IP address to the ban list.
addons; cmd; ; list current addon info.
adsp_alley_min; 122; ; 
adsp_courtyard_min; 126; ; 
adsp_debug; 0; a; 
adsp_door_height; 112; ; 
adsp_duct_min; 106; ; 
adsp_hall_min; 110; ; 
adsp_low_ceiling; 108; ; 
adsp_opencourtyard_min; 126; ; 
adsp_openspace_min; 130; ; 
adsp_openstreet_min; 118; ; 
adsp_openwall_min; 130; ; 
adsp_room_min; 102; ; 
adsp_street_min; 118; ; 
adsp_tunnel_min; 114; ; 
adsp_wall_height; 128; ; 
ai_debug_los; 0; sv, cheat; NPC Line-Of-Sight debug mode. If 1, solid entities that block NPC LOC will be highlighted with white bounding boxes. If 2, it'll show non-solid entities that would do it if they were solid.
ai_debug_ragdoll_magnets; 0; sv; 
ai_debug_shoot_positions; 0; sv, rep, cheat; 
ai_debug_speech; 0; sv; 
ai_expression_frametime; 0; sv; Maximum frametime to still play background expressions.
ai_expression_optimization; 0; sv; Disable npc background expressions when you can't see them.
ai_force_serverside_ragdoll; 0; sv; 
ai_LOS_mode; 0; sv, rep; 
ai_sequence_debug; 0; sv, rep; 
ai_shot_bias_max; 1; sv, rep; 
ai_shot_bias_min; -1; sv, rep; 
ai_show_hull_attacks; 0; sv; 
ai_test_los; cmd; ; Test AI LOS from the player's POV
ai_use_visibility_cache; 1; sv; 
ainet_generate_report; cmd; ; Generate a report to the console.
ainet_generate_report_only; cmd; ; Generate a report to the console.
alias; cmd; ; Alias a command.
all_pick_force_test; 0; sv; 
allow_clientside_entities; 1; cl; 
alt1; cmd; ; 
alt1; cmd; ; 
alt2; cmd; ; 
alt2; cmd; ; 
anim_disable; 0; sv, rep; 
anim_showmainactivity; 0; cl, cheat; Show the idle, walk, run, and/or sprint activities.
animevents_dump; cmd; ; List all the currently registered anim events. 
async_allow_held_files; 1; ; Allow AsyncBegin/EndRead()
async_mode; 0; ; Set the async filesystem mode (0 = async, 1 = synchronous)
async_resume; cmd; ; 
async_serialize; 0; ; Force async reads to serialize for profiling
async_simulate_delay; 0; ; Simulate a delay of up to a set msec per file operation
async_suspend; cmd; ; 
async_track_all; cmd; ; Enable all registered asynchronous tracking convars at once
attack; cmd; ; 
attack; cmd; ; 
attack2; cmd; ; 
attack2; cmd; ; 
autoaim_max_deflect; 0; sv; 
autoaim_max_dist; 2160; sv; 
back; cmd; ; 
back; cmd; ; 
banid; cmd; ; Add a user ID to the ban list.
banip; cmd; ; Add an IP address to the ban list.
benchframe; cmd; ; Takes a snapshot of a particular frame in a time demo.
bind; cmd; ; Bind a key.
binddefaults; cmd; ; Bind all keys to their default values.
bindss; cmd; ; Bind a key for a particular splitscreen player.
bindtoggle; cmd; ; Performs a bind <key> 'increment var <cvar> 0 1 1'.
blackbox; 1; ; 
blackbox_dump; cmd; ; Dump the contents of the blackbox
blackbox_record; cmd; ; Record an entry into the blackbox
blink; cmd; ; Blink specified convar value between two values at the specified duration.
blink_duration; 0; cl; How many seconds an eye blink will last.
bot_mimic; 0; sv, rep; Bot uses usercmd of player by index.
bot_mimic_spec_buttons; 1; cl, cheat; +attack, +jump etc are used for spectator control instead of being passed on to spectated bot
